list,$identifier,$Image,$exp,$item,$condition,$rational,$targetImg,$compImg,$distr1Img,$distr2Img,$targetLoc,$compLoc,$distr1Loc,$distr2Loc
1,11,List_1_ID_11.jpg,N,f71,9,9,monkeySmall.png,monkeyLarge.png,glassesRedLarge.png,glassesRedLarge.png,2,1,4,3
1,12,List_1_ID_12.jpg,Y,1,1,consistent,sock_green_striped.png,sock_red_striped.png,sock_green_spotted.png,sock_green_spotted.png,2,1,3,4
1,13,List_1_ID_13.jpg,N,f01,9,9,wheelRedLarge.png,ladderGreenLarge.png,trainGreenLarge.png,trainGreenLarge.png,3,2,1,4
1,14,List_1_ID_14.jpg,Y,2,2,comp uniquely unidentifiable,bow_blue_spotted.png,bow_green_spotted.png,bow_blue_striped.png,bow_green_spotted.png,3,4,2,1
1,15,List_1_ID_15.jpg,N,f05,9,9,circle.png,busBlueLarge.png,bedBlueLarge.png,bedBlueLarge.png,2,1,3,4
1,16,List_1_ID_16.jpg,N,f43,9,9,scissorsRedLarge.png,scissorsRedSmall.png,screwGreenSmall.png,screwGreenSmall.png,4,1,2,3
1,17,List_1_ID_17.jpg,Y,3,3,Control,book_blue_chequered.png,book_red_chequered.png,book_blue_striped.png,book_red_striped.png,2,3,4,1
1,18,List_1_ID_18.jpg,N,f39,9,9,ladderGreenSmall.png,ladderGreenLarge.png,garbagecanGreenLarge.png,garbagecanGreenLarge.png,1,4,2,3
1,19,List_1_ID_19.jpg,Y,4,2,comp uniquely unidentifiable,cap_red_spotted.png,cap_green_spotted.png,cap_red_striped.png,cap_green_spotted.png,4,1,2,3
1,20,List_1_ID_20.jpg,N,f77,9,9,guitarRedLargeLeft.png,guitarRedLargeRight.png,guitarRedSmallLeft.png,guitarRedSmallLeft.png,4,3,1,2
1,21,List_1_ID_21.jpg,Y,5,1,consistent,shoe_red_striped.png,shoe_green_striped.png,shoe_red_chequered.png,shoe_red_chequered.png,3,2,4,1
1,22,List_1_ID_22.jpg,N,f14,9,9,screw_blue_chequered.png,bed_green_striped.png,ovenRedLarge.png,ovenRedLarge.png,3,1,2,4
1,23,List_1_ID_23.jpg,Y,6,3,Control,arrow_green_spotted.png,arrow_red_spotted.png,arrow_green_chequered.png,arrow_red_chequered.png,2,4,3,1
1,24,List_1_ID_24.jpg,N,f25,9,9,buttonGreyLarge.png,basketGreyLarge.png,forkRedSmall.png,forkRedSmall.png,1,2,3,4
1,25,List_1_ID_25.jpg,Y,7,2,comp uniquely unidentifiable,pitcher_blue_spotted.png,pitcher_green_spotted.png,pitcher_blue_chequered.png,pitcher_green_spotted.png,1,2,3,4
1,26,List_1_ID_26.jpg,N,f29,9,9,drumRedLarge.png,anchorGreenLarge.png,bed_green_spotted.png,bed_green_spotted.png,4,1,2,3
1,27,List_1_ID_27.jpg,Y,8,3,Control,triangle_green_striped.png,triangle_blue_striped.png,triangle_green_spotted.png,triangle_blue_spotted.png,3,1,2,4
1,28,List_1_ID_28.jpg,N,f47,9,9,vaseGreyLarge.png,vaseGreySmall.png,anchorRedLarge.png,anchorRedLarge.png,1,4,3,2
1,29,List_1_ID_29.jpg,Y,9,1,consistent,clothespeg_green_striped.png,clothespeg_red_striped.png,clothespeg_green_chequered.png,clothespeg_green_chequered.png,3,1,4,2
1,30,List_1_ID_30.jpg,N,f18,9,9,axe_red_spotted.png,moon_red_striped.png,nut_green_spotted.png,nut_green_spotted.png,2,3,1,4
1,31,List_1_ID_31.jpg,Y,10,3,Control,fryingpan_blue_spotted.png,fryingpan_green_spotted.png,fryingpan_blue_striped.png,fryingpan_green_striped.png,2,3,4,1
1,32,List_1_ID_32.jpg,N,f64,9,9,butterflyBlueSmallDown.png,butterflyBlueLarge.png,wateringcanGreenSmall.png,wateringcanGreenSmall.png,3,4,2,1
1,33,List_1_ID_33.jpg,Y,11,1,consistent,watch_green_chequered.png,watch_red_chequered.png,watch_green_spotted.png,watch_green_spotted.png,1,3,4,2
1,34,List_1_ID_34.jpg,N,f22,9,9,hammerBlueLarge.png,ashtray_green_chequered.png,ashtray_green_chequered.png,ashtray_green_chequered.png,1,4,3,2
1,35,List_1_ID_35.jpg,Y,12,2,comp uniquely unidentifiable,stool_blue_spotted.png,stool_red_spotted.png,stool_blue_chequered.png,stool_red_spotted.png,4,3,1,2
1,36,List_1_ID_36.jpg,N,f02,9,9,trainBlueLarge.png,wheelRedLarge.png,circle.png,circle.png,2,1,3,4
1,37,List_1_ID_37.jpg,Y,13,1,consistent,kite_red_chequered.png,kite_green_chequered.png,kite_red_striped.png,kite_red_striped.png,1,4,3,2
1,38,List_1_ID_38.jpg,N,f37,9,9,candleGreyLarge.png,candleGreySmall.png,tennisracketGreyLarge.png,tennisracketGreyLarge.png,3,2,1,4
1,39,List_1_ID_39.jpg,Y,14,2,comp uniquely unidentifiable,shirt_blue_striped.png,shirt_green_striped.png,shirt_blue_spotted.png,shirt_green_striped.png,4,1,2,3
1,40,List_1_ID_40.jpg,N,f23,9,9,basket_green_chequered.png,swing_red_striped.png,swing_blue_striped.png,swing_blue_striped.png,2,1,3,4
1,41,List_1_ID_41.jpg,Y,15,3,Control,trousers_green_spotted.png,trousers_blue_spotted.png,trousers_green_chequered.png,trousers_blue_chequered.png,3,1,4,2
1,42,List_1_ID_42.jpg,N,f40,9,9,bicycleBlueSmall.png,bicycleBlueLarge.png,hammerRedLarge.png,hammerRedLarge.png,4,2,3,1
1,43,List_1_ID_43.jpg,Y,16,2,comp uniquely unidentifiable,saucepan_blue_striped.png,saucepan_red_striped.png,saucepan_blue_spotted.png,saucepan_red_striped.png,1,2,3,4
1,44,List_1_ID_44.jpg,N,f30,9,9,wellLarge.png,spoonGreenLarge.png,sawBlueLarge.png,sawBlueLarge.png,3,1,4,2
1,45,List_1_ID_45.jpg,Y,17,3,Control,belt_green_chequered.png,belt_blue_chequered.png,belt_green_striped.png,belt_blue_striped.png,3,4,1,2
1,46,List_1_ID_46.jpg,N,f19,9,9,toothbrushBlueLarge.png,axe_blue_spotted.png,nut_red_spotted.png,nut_red_spotted.png,1,4,3,2
1,47,List_1_ID_47.jpg,Y,18,1,consistent,pipe_blue_chequered.png,pipe_red_chequered.png,pipe_blue_spotted.png,pipe_blue_spotted.png,4,2,3,1
1,48,List_1_ID_48.jpg,N,f67,9,9,frogSmallDown.png,frogLarge.png,frogSmall.png,frogSmall.png,1,3,2,4
1,49,List_1_ID_49.jpg,Y,19,3,Control,glove_blue_chequered.png,glove_red_chequered.png,glove_blue_striped.png,glove_red_striped.png,3,4,1,2
1,50,List_1_ID_50.jpg,N,f80,9,9,knifeGreyLarge.png,knifeGreySmall.png,knifeGreyLargeDown.png,knifeGreyLargeDown.png,1,4,3,2
1,51,List_1_ID_51.jpg,Y,20,1,consistent,glass_blue_spotted.png,glass_red_spotted.png,glass_blue_chequered.png,glass_blue_chequered.png,3,2,4,1
