list,$identifier,$Image,$exp,$item,$condition,$rational,$targetImg,$compImg,$distr1Img,$distr2Img,$targetLoc,$compLoc,$distr1Loc,$distr2Loc
1,1,List_1_ID_1.jpg,N,p1,9,9,couchGreyLarge.png,busGreyLarge.png,ironingboardGreyLarge.png,ironingboardGreyLarge.png,3,1,2,4
1,2,List_1_ID_2.jpg,N,p2,9,9,couchRedLarge.png,couchBlueLarge.png,couchGreenLarge.png,couchGreenLarge.png,1,3,4,2
1,3,List_1_ID_3.jpg,N,p3,9,9,couch_blue_spotted.png,couch_blue_striped.png,couch_blue_chequered.png,couch_blue_chequered.png,2,3,1,4
1,4,List_1_ID_4.jpg,N,p4,9,9,couchBlueLarge.png,couchRedLarge.png,couchGreenLarge.png,couchGreenLarge.png,4,3,1,2
1,5,List_1_ID_5.jpg,N,p5,9,9,couchBlueSmall.png,couchBlueLarge.png,couchBlueLarge.png,couchBlueLarge.png,3,1,4,2
1,6,List_1_ID_6.jpg,N,p6,9,9,couchGreenLarge.png,couchRedLarge.png,couchBlueLarge.png,couchBlueLarge.png,4,1,2,3
1,7,List_1_ID_7.jpg,N,p7,9,9,couch_blue_chequered.png,couch_blue_spotted.png,couch_blue_striped.png,couch_blue_striped.png,2,3,4,1
1,8,List_1_ID_8.jpg,N,p8,9,9,couchBlueLarge.png,couchBlueSmall.png,couchBlueSmall.png,couchBlueSmall.png,2,1,4,3
1,9,List_1_ID_9.jpg,N,p9,9,9,couch_blue_striped.png,couch_blue_spotted.png,couch_blue_chequered.png,couch_blue_chequered.png,4,1,2,3
1,10,List_1_ID_10.jpg,N,p10,9,9,couchGreyLargeLeft.png,couchGreyLarge.png,couchGreyLarge.png,couchGreyLarge.png,3,4,1,2
2,1,List_1_ID_1.jpg,N,p1,9,9,couchGreyLarge.png,busGreyLarge.png,ironingboardGreyLarge.png,ironingboardGreyLarge.png,3,1,2,4
2,2,List_1_ID_2.jpg,N,p2,9,9,couchRedLarge.png,couchBlueLarge.png,couchGreenLarge.png,couchGreenLarge.png,1,3,4,2
2,3,List_1_ID_3.jpg,N,p3,9,9,couch_blue_spotted.png,couch_blue_striped.png,couch_blue_chequered.png,couch_blue_chequered.png,2,3,1,4
2,4,List_1_ID_4.jpg,N,p4,9,9,couchBlueLarge.png,couchRedLarge.png,couchGreenLarge.png,couchGreenLarge.png,4,3,1,2
2,5,List_1_ID_5.jpg,N,p5,9,9,couchBlueSmall.png,couchBlueLarge.png,couchBlueLarge.png,couchBlueLarge.png,3,1,4,2
2,6,List_1_ID_6.jpg,N,p6,9,9,couchGreenLarge.png,couchRedLarge.png,couchBlueLarge.png,couchBlueLarge.png,4,1,2,3
2,7,List_1_ID_7.jpg,N,p7,9,9,couch_blue_chequered.png,couch_blue_spotted.png,couch_blue_striped.png,couch_blue_striped.png,2,3,4,1
2,8,List_1_ID_8.jpg,N,p8,9,9,couchBlueLarge.png,couchBlueSmall.png,couchBlueSmall.png,couchBlueSmall.png,2,1,4,3
2,9,List_1_ID_9.jpg,N,p9,9,9,couch_blue_striped.png,couch_blue_spotted.png,couch_blue_chequered.png,couch_blue_chequered.png,4,1,2,3
2,10,List_1_ID_10.jpg,N,p10,9,9,couchGreyLargeLeft.png,couchGreyLarge.png,couchGreyLarge.png,couchGreyLarge.png,3,4,1,2
3,1,List_1_ID_1.jpg,N,p1,9,9,couchGreyLarge.png,busGreyLarge.png,ironingboardGreyLarge.png,ironingboardGreyLarge.png,3,1,2,4
3,2,List_1_ID_2.jpg,N,p2,9,9,couchRedLarge.png,couchBlueLarge.png,couchGreenLarge.png,couchGreenLarge.png,1,3,4,2
3,3,List_1_ID_3.jpg,N,p3,9,9,couch_blue_spotted.png,couch_blue_striped.png,couch_blue_chequered.png,couch_blue_chequered.png,2,3,1,4
3,4,List_1_ID_4.jpg,N,p4,9,9,couchBlueLarge.png,couchRedLarge.png,couchGreenLarge.png,couchGreenLarge.png,4,3,1,2
3,5,List_1_ID_5.jpg,N,p5,9,9,couchBlueSmall.png,couchBlueLarge.png,couchBlueLarge.png,couchBlueLarge.png,3,1,4,2
3,6,List_1_ID_6.jpg,N,p6,9,9,couchGreenLarge.png,couchRedLarge.png,couchBlueLarge.png,couchBlueLarge.png,4,1,2,3
3,7,List_1_ID_7.jpg,N,p7,9,9,couch_blue_chequered.png,couch_blue_spotted.png,couch_blue_striped.png,couch_blue_striped.png,2,3,4,1
3,8,List_1_ID_8.jpg,N,p8,9,9,couchBlueLarge.png,couchBlueSmall.png,couchBlueSmall.png,couchBlueSmall.png,2,1,4,3
3,9,List_1_ID_9.jpg,N,p9,9,9,couch_blue_striped.png,couch_blue_spotted.png,couch_blue_chequered.png,couch_blue_chequered.png,4,1,2,3
3,10,List_1_ID_10.jpg,N,p10,9,9,couchGreyLargeLeft.png,couchGreyLarge.png,couchGreyLarge.png,couchGreyLarge.png,3,4,1,2
